id,name,class
0001_01,n000007,0
0003_01,n000007,0
0004_01,n000007,0
0005_02,n000007,0
0006_02,n000007,0
0008_01,n000007,0
0009_01,n000007,0
0010_01,n000007,0
0012_01,n000007,0
0013_01,n000007,0
0014_01,n000007,0
0015_01,n000007,0
0016_01,n000007,0
0018_01,n000007,0
0019_01,n000007,0
0020_01,n000007,0
0001_01,n000008,1
0002_01,n000008,1
0003_01,n000008,1
0004_01,n000008,1
0005_02,n000008,1
0006_01,n000008,1
0007_01,n000008,1
0008_01,n000008,1
0009_01,n000008,1
0010_01,n000008,1
0011_01,n000008,1
0012_01,n000008,1
0014_01,n000008,1
0015_01,n000008,1
0016_01,n000008,1
0017_01,n000008,1
0018_01,n000008,1
0019_01,n000008,1
0020_01,n000008,1
0001_01,n000013,2
0002_01,n000013,2
0003_01,n000013,2
0004_01,n000013,2
0005_01,n000013,2
0006_01,n000013,2
0007_01,n000013,2
0008_01,n000013,2
0009_01,n000013,2
0010_01,n000013,2
0011_01,n000013,2
0011_02,n000013,2
0012_01,n000013,2
0013_01,n000013,2
0014_01,n000013,2
0015_01,n000013,2
0016_01,n000013,2
0017_01,n000013,2
0018_01,n000013,2
0019_02,n000013,2
0001_01,n000025,3
0002_01,n000025,3
0003_01,n000025,3
0004_01,n000025,3
0005_01,n000025,3
0006_01,n000025,3
0007_01,n000025,3
0008_01,n000025,3
0009_01,n000025,3
0010_01,n000025,3
0011_01,n000025,3
0012_01,n000025,3
0013_01,n000025,3
0014_01,n000025,3
0015_01,n000025,3
0016_01,n000025,3
0017_01,n000025,3
0018_01,n000025,3
0019_04,n000025,3
0020_01,n000025,3
0001_01,n000032,4
0002_01,n000032,4
0003_01,n000032,4
0004_02,n000032,4
0005_01,n000032,4
0006_01,n000032,4
0007_01,n000032,4
0008_01,n000032,4
0009_01,n000032,4
0010_02,n000032,4
0011_01,n000032,4
0012_02,n000032,4
0013_01,n000032,4
0014_01,n000032,4
0015_01,n000032,4
0016_01,n000032,4
0017_01,n000032,4
0018_01,n000032,4
0019_01,n000032,4
0020_01,n000032,4
0001_01,n000035,5
0002_01,n000035,5
0003_03,n000035,5
0004_01,n000035,5
0005_01,n000035,5
0006_01,n000035,5
0007_01,n000035,5
0008_01,n000035,5
0009_01,n000035,5
0010_01,n000035,5
0011_01,n000035,5
0012_01,n000035,5
0013_01,n000035,5
0014_01,n000035,5
0015_01,n000035,5
0016_01,n000035,5
0017_01,n000035,5
0018_01,n000035,5
0019_01,n000035,5
0020_01,n000035,5
0001_01,n000037,6
0003_02,n000037,6
0004_02,n000037,6
0005_03,n000037,6
0006_01,n000037,6
0007_02,n000037,6
0008_01,n000037,6
0009_02,n000037,6
0009_03,n000037,6
0010_01,n000037,6
0011_02,n000037,6
0012_01,n000037,6
0012_03,n000037,6
0013_01,n000037,6
0014_01,n000037,6
0015_01,n000037,6
0017_02,n000037,6
0001_01,n000045,7
0002_01,n000045,7
0003_02,n000045,7
0004_01,n000045,7
0005_02,n000045,7
0006_01,n000045,7
0007_01,n000045,7
0008_02,n000045,7
0009_01,n000045,7
0010_01,n000045,7
0011_01,n000045,7
0012_04,n000045,7
0014_01,n000045,7
0014_03,n000045,7
0015_01,n000045,7
0016_01,n000045,7
0017_03,n000045,7
0018_01,n000045,7
0018_03,n000045,7
0001_01,n000050,8
0002_01,n000050,8
0003_01,n000050,8
0004_01,n000050,8
0006_01,n000050,8
0007_01,n000050,8
0008_01,n000050,8
0009_01,n000050,8
0010_01,n000050,8
0011_01,n000050,8
0012_01,n000050,8
0013_01,n000050,8
0014_01,n000050,8
0015_01,n000050,8
0016_01,n000050,8
0017_02,n000050,8
0018_01,n000050,8
0019_01,n000050,8
0020_01,n000050,8
0001_01,n000055,9
0002_01,n000055,9
0003_01,n000055,9
0004_01,n000055,9
0005_01,n000055,9
0006_01,n000055,9
0007_01,n000055,9
0008_01,n000055,9
0009_01,n000055,9
0010_01,n000055,9
0011_01,n000055,9
0012_01,n000055,9
0014_01,n000055,9
0015_01,n000055,9
0016_01,n000055,9
0017_01,n000055,9
0018_01,n000055,9
0019_01,n000055,9
0020_01,n000055,9
0021_01,n000055,9
0001_01,n000058,10
0002_01,n000058,10
0003_01,n000058,10
0004_01,n000058,10
0005_01,n000058,10
0006_01,n000058,10
0007_01,n000058,10
0008_01,n000058,10
0009_01,n000058,10
0010_02,n000058,10
0011_01,n000058,10
0012_01,n000058,10
0013_01,n000058,10
0014_01,n000058,10
0015_01,n000058,10
0016_01,n000058,10
0017_01,n000058,10
0018_01,n000058,10
0019_01,n000058,10
0020_01,n000058,10
0001_01,n000059,11
0002_01,n000059,11
0003_01,n000059,11
0004_01,n000059,11
0006_02,n000059,11
0007_01,n000059,11
0008_01,n000059,11
0010_02,n000059,11
0011_01,n000059,11
0012_01,n000059,11
0013_01,n000059,11
0013_02,n000059,11
0014_04,n000059,11
0015_02,n000059,11
0016_02,n000059,11
0017_01,n000059,11
0017_02,n000059,11
0018_01,n000059,11
0001_01,n000060,12
0002_01,n000060,12
0003_01,n000060,12
0004_01,n000060,12
0005_01,n000060,12
0006_01,n000060,12
0007_01,n000060,12
0007_02,n000060,12
0007_03,n000060,12
0008_01,n000060,12
0009_01,n000060,12
0010_01,n000060,12
0011_01,n000060,12
0012_01,n000060,12
0012_02,n000060,12
0013_01,n000060,12
0014_01,n000060,12
0015_01,n000060,12
0016_03,n000060,12
0017_01,n000060,12
0001_01,n000072,13
0002_01,n000072,13
0003_01,n000072,13
0004_02,n000072,13
0005_01,n000072,13
0006_01,n000072,13
0007_01,n000072,13
0008_01,n000072,13
0009_01,n000072,13
0010_03,n000072,13
0011_01,n000072,13
0013_01,n000072,13
0014_01,n000072,13
0016_02,n000072,13
0017_01,n000072,13
0018_01,n000072,13
0019_01,n000072,13
0020_01,n000072,13
0001_01,n000074,14
0002_01,n000074,14
0003_01,n000074,14
0004_01,n000074,14
0006_01,n000074,14
0007_01,n000074,14
0008_01,n000074,14
0009_01,n000074,14
0010_01,n000074,14
0011_01,n000074,14
0012_01,n000074,14
0013_01,n000074,14
0014_01,n000074,14
0015_07,n000074,14
0016_01,n000074,14
0017_01,n000074,14
0018_01,n000074,14
0019_01,n000074,14
0020_06,n000074,14
0001_01,n000092,15
0002_02,n000092,15
0003_01,n000092,15
0004_01,n000092,15
0005_01,n000092,15
0006_01,n000092,15
0007_01,n000092,15
0008_01,n000092,15
0009_01,n000092,15
0010_01,n000092,15
0011_01,n000092,15
0012_01,n000092,15
0013_01,n000092,15
0014_01,n000092,15
0015_02,n000092,15
0016_01,n000092,15
0017_02,n000092,15
0018_01,n000092,15
0019_01,n000092,15
0020_01,n000092,15
0001_01,n000094,16
0002_01,n000094,16
0003_01,n000094,16
0004_01,n000094,16
0005_01,n000094,16
0006_01,n000094,16
0007_01,n000094,16
0008_01,n000094,16
0009_01,n000094,16
0010_01,n000094,16
0011_01,n000094,16
0012_01,n000094,16
0013_01,n000094,16
0014_05,n000094,16
0015_01,n000094,16
0016_01,n000094,16
0017_01,n000094,16
0018_01,n000094,16
0019_01,n000094,16
0020_02,n000094,16
0001_01,n000101,17
0002_01,n000101,17
0003_03,n000101,17
0004_02,n000101,17
0005_01,n000101,17
0006_01,n000101,17
0009_01,n000101,17
0011_01,n000101,17
0012_02,n000101,17
0013_01,n000101,17
0014_01,n000101,17
0015_01,n000101,17
0017_01,n000101,17
0018_01,n000101,17
0018_02,n000101,17
0019_01,n000101,17
0001_02,n000105,18
0002_01,n000105,18
0003_01,n000105,18
0004_01,n000105,18
0005_01,n000105,18
0006_01,n000105,18
0006_02,n000105,18
0007_01,n000105,18
0008_01,n000105,18
0009_01,n000105,18
0010_01,n000105,18
0011_01,n000105,18
0012_02,n000105,18
0013_01,n000105,18
0014_01,n000105,18
0015_01,n000105,18
0016_02,n000105,18
0017_01,n000105,18
0018_01,n000105,18
0019_01,n000105,18
0001_01,n000111,19
0002_01,n000111,19
0003_01,n000111,19
0004_01,n000111,19
0005_01,n000111,19
0006_01,n000111,19
0007_01,n000111,19
0008_01,n000111,19
0009_01,n000111,19
0010_01,n000111,19
0011_01,n000111,19
0012_01,n000111,19
0013_01,n000111,19
0014_01,n000111,19
0015_01,n000111,19
0017_01,n000111,19
0018_01,n000111,19
0019_01,n000111,19
0020_01,n000111,19
0021_01,n000111,19
